"message,"date-time","tick"
"Start","2021-01-23 15:05:15.471448","1611410715.471448"
"Log inizialized","2021-01-23 15:05:15.471448","1611410715.471448"
"Readed configuration file","2021-01-23 15:05:15.471448","1611410715.471448"
"Readed input file","2021-01-23 15:05:15.471448","1611410715.471448"
"Getted all position where delete","2021-01-23 15:05:15.471448","1611410715.471448"
"Secret header elaborated","2021-01-23 15:05:15.471448","1611410715.471448"
"Secret body elaborated","2021-01-23 15:05:15.471448","1611410715.471448"
"Secret elaborated","2021-01-23 15:05:15.471448","1611410715.471448"
"Converted array into csv","2021-01-23 15:05:15.471448","1611410715.471448"
"Converted array into csv","2021-01-23 15:05:15.471448","1611410715.471448"
"Converted array into csv","2021-01-23 15:05:15.471448","1611410715.471448"
"Converted array into csv","2021-01-23 15:05:15.471448","1611410715.471448"
"Writed outputs","2021-01-23 15:05:15.471448","1611410715.471448"
"End","2021-01-23 15:05:15.471448","1611410715.471448"
"Start","2021-01-23 15:14:58.980978","1611411298.980978"
"Log inizialized","2021-01-23 15:14:58.980978","1611411298.980978"
"Readed configuration file","2021-01-23 15:14:58.980978","1611411298.980978"
"Readed input file","2021-01-23 15:14:58.980978","1611411298.980978"
"Getted all position where delete","2021-01-23 15:14:58.980978","1611411298.980978"
"Secret header elaborated","2021-01-23 15:14:58.980978","1611411298.980978"
"Secret body elaborated","2021-01-23 15:14:58.980978","1611411298.980978"
"Secret elaborated","2021-01-23 15:14:58.980978","1611411298.980978"
"Converted array into csv","2021-01-23 15:14:58.980978","1611411298.980978"
"Converted array into csv","2021-01-23 15:14:58.980978","1611411298.980978"
"Converted array into csv","2021-01-23 15:14:58.980978","1611411298.980978"
"Converted array into csv","2021-01-23 15:14:58.980978","1611411298.980978"
"Writed outputs","2021-01-23 15:14:58.980978","1611411298.980978"
"End","2021-01-23 15:14:58.980978","1611411298.980978"
"Start","2021-01-23 15:15:38.457234","1611411338.45857"
"Log inizialized","2021-01-23 15:15:38.457234","1611411338.45857"
"Readed configuration file","2021-01-23 15:15:38.457234","1611411338.45857"
"Readed input file","2021-01-23 15:15:38.457234","1611411338.45857"
"Getted all position where delete","2021-01-23 15:15:38.457234","1611411338.45857"
"Secret header elaborated","2021-01-23 15:15:38.457234","1611411338.45857"
"Secret body elaborated","2021-01-23 15:15:38.457234","1611411338.45857"
"Secret elaborated","2021-01-23 15:15:38.457234","1611411338.45857"
"Converted array into csv","2021-01-23 15:15:38.457234","1611411338.45857"
"Converted array into csv","2021-01-23 15:15:38.457234","1611411338.45857"
"Converted array into csv","2021-01-23 15:15:38.457234","1611411338.45857"
"Converted array into csv","2021-01-23 15:15:38.457234","1611411338.45857"
"Writed outputs","2021-01-23 15:15:38.457234","1611411338.45857"
"End","2021-01-23 15:15:38.457234","1611411338.45857"
"Start","2021-01-23 15:49:02.198479","1611413342.198479"
"Log inizialized","2021-01-23 15:49:02.198479","1611413342.198479"
"Start","2021-01-23 15:49:24.165749","1611413364.165749"
"Log inizialized","2021-01-23 15:49:24.165749","1611413364.165749"
"Readed configuration file","2021-01-23 15:49:24.165749","1611413364.165749"
"Readed input file","2021-01-23 15:49:24.165749","1611413364.165749"
"Getted all position where delete","2021-01-23 15:49:24.165749","1611413364.165749"
"Secret header elaborated","2021-01-23 15:49:24.165749","1611413364.165749"
"Secret body elaborated","2021-01-23 15:49:24.165749","1611413364.165749"
"Secret elaborated","2021-01-23 15:49:24.165749","1611413364.165749"
"Converted array into csv","2021-01-23 15:49:24.165749","1611413364.165749"
"Converted array into csv","2021-01-23 15:49:24.165749","1611413364.165749"
"Converted array into csv","2021-01-23 15:49:24.165749","1611413364.165749"
"Converted array into csv","2021-01-23 15:49:24.165749","1611413364.165749"
"Writed outputs","2021-01-23 15:49:24.165749","1611413364.165749"
"End","2021-01-23 15:49:24.165749","1611413364.165749"
"Start","2021-01-23 15:50:07.522673","1611413407.522673"
"Log inizialized","2021-01-23 15:50:07.522673","1611413407.522673"
"Readed configuration file","2021-01-23 15:50:07.522673","1611413407.522673"
"Readed input file","2021-01-23 15:50:07.522673","1611413407.522673"
"Start","2021-01-23 15:50:53.134170","1611413453.13417"
"Log inizialized","2021-01-23 15:50:53.134170","1611413453.13417"
"Readed configuration file","2021-01-23 15:50:53.134170","1611413453.13417"
"Readed input file","2021-01-23 15:50:53.134170","1611413453.13417"
"Start","2021-01-23 15:51:09.117875","1611413469.117875"
"Log inizialized","2021-01-23 15:51:09.117875","1611413469.117875"
"Readed configuration file","2021-01-23 15:51:09.117875","1611413469.117875"
"Readed input file","2021-01-23 15:51:09.117875","1611413469.117875"
"Start","2021-01-23 15:58:18.564832","1611413898.564832"
"Log inizialized","2021-01-23 15:58:18.564832","1611413898.564832"
"Readed configuration file","2021-01-23 15:58:18.564832","1611413898.564832"
"Readed input file","2021-01-23 15:58:18.564832","1611413898.564832"
"Getted all position where delete","2021-01-23 15:58:18.564832","1611413898.564832"
"Secret header elaborated","2021-01-23 15:58:18.564832","1611413898.564832"
"Secret body elaborated","2021-01-23 15:58:18.564832","1611413898.564832"
"Secret elaborated","2021-01-23 15:58:18.564832","1611413898.564832"
"Converted array into csv","2021-01-23 15:58:18.564832","1611413898.564832"
"Converted array into csv","2021-01-23 15:58:18.564832","1611413898.564832"
"Converted array into csv","2021-01-23 15:58:18.564832","1611413898.564832"
"Converted array into csv","2021-01-23 15:58:18.564832","1611413898.564832"
"Writed outputs","2021-01-23 15:58:18.564832","1611413898.564832"
"End","2021-01-23 15:58:18.564832","1611413898.564832"
"Start","2021-01-23 15:58:23.464860","1611413903.46486"
"Log inizialized","2021-01-23 15:58:23.464860","1611413903.46486"
"Readed configuration file","2021-01-23 15:58:23.464860","1611413903.46486"
"Readed input file","2021-01-23 15:58:23.464860","1611413903.46486"
"Getted all position where delete","2021-01-23 15:58:23.464860","1611413903.46486"
